"state","household_size","poverty_line","frl_line","low_income_line"
"Illinois",7,3,4,4
"Illinois",8,3,5,4
"Indiana",1,1,1,1
"Indiana",2,1,2,1
"Indiana",3,1,3,2
"Indiana",4,1,3,3
"Indiana",5,2,4,3
"Indiana",6,2,4,3
"Indiana",7,3,4,4
"Indiana",8,3,5,4
"Iowa",1,1,1,1
"Iowa",2,1,2,1
"Iowa",3,1,3,2
"Iowa",4,1,3,3
"Iowa",5,2,4,3
"Iowa",6,2,4,3
"Iowa",7,3,4,4
"Iowa",8,3,5,4
"Kansas",1,1,1,1
"Kansas",2,1,2,1
"Kansas",3,1,3,2
"Kansas",4,1,3,3
"Kansas",5,2,4,3
"Kansas",6,2,4,3
"Kansas",7,3,4,4
"Kansas",8,3,5,4
"Kentucky",1,1,1,1
"Kentucky",2,1,2,1
"Kentucky",3,1,3,2
"Kentucky",4,1,3,3
"Kentucky",5,2,4,3
"Kentucky",6,2,4,3
"Kentucky",7,3,4,4
"Kentucky",8,3,5,4
"Louisiana",1,1,1,1
"Louisiana",2,1,2,1
"Louisiana",3,1,3,2
"Louisiana",4,1,3,3
"Louisiana",5,2,4,3
"Louisiana",6,2,4,3
"Louisiana",7,3,4,4
"Louisiana",8,3,5,4
"Maine",1,1,1,1
"Maine",2,1,2,1
"Maine",3,1,3,2
"Maine",4,1,3,3
"Maine",5,2,4,3
"Maine",6,2,4,3
"Maine",7,3,4,4
"Maine",8,3,5,4
"Maryland",1,1,1,1
"Maryland",2,1,2,1
"Maryland",3,1,3,2
"Maryland",4,1,3,3
"Maryland",5,2,4,3
"Maryland",6,2,4,3
"Maryland",7,3,4,4
"Maryland",8,3,5,4
"Massachusetts",1,1,1,1
"Massachusetts",2,1,2,1
"Massachusetts",3,1,3,2
"Massachusetts",4,1,3,3
"Massachusetts",5,2,4,3
"Massachusetts",6,2,4,3
"Massachusetts",7,3,4,4
"Massachusetts",8,3,5,4
"Michigan",1,1,1,1
"Michigan",2,1,2,1
"Michigan",3,1,3,2
"Michigan",4,1,3,3
"Michigan",5,2,4,3
"Michigan",6,2,4,3
"Michigan",7,3,4,4
"Michigan",8,3,5,4
"Minnesota",1,1,1,1
"Minnesota",2,1,2,1
"Minnesota",3,1,3,2
"Minnesota",4,1,3,3
"Minnesota",5,2,4,3
"Minnesota",6,2,4,3
"Minnesota",7,3,4,4
"Minnesota",8,3,5,4
"Mississippi",1,1,1,1
"Mississippi",2,1,2,1
"Mississippi",3,1,3,2
"Mississippi",4,1,3,3
"Mississippi",5,2,4,3
"Mississippi",6,2,4,3
"Mississippi",7,3,4,4
"Mississippi",8,3,5,4
"Missouri",1,1,1,1
"Missouri",2,1,2,1
"Missouri",3,1,3,2
"Missouri",4,1,3,3
"Missouri",5,2,4,3
"Missouri",6,2,4,3
"Missouri",7,3,4,4
"Missouri",8,3,5,4
"Montana",1,1,1,1
"Montana",2,1,2,1
"Montana",3,1,3,2
"Montana",4,1,3,3
"Montana",5,2,4,3
"Montana",6,2,4,3
"Montana",7,3,4,4
"Montana",8,3,5,4
"Nebraska",1,1,1,1
"Nebraska",2,1,2,1
"Nebraska",3,1,3,2
"Nebraska",4,1,3,3
"Nebraska",5,2,4,3
"Nebraska",6,2,4,3
"Nebraska",7,3,4,4
"Nebraska",8,3,5,4
"Nevada",1,1,1,1
"Nevada",2,1,2,1
"Nevada",3,1,3,2
"Nevada",4,1,3,3
"Nevada",5,2,4,3
"Nevada",6,2,4,3
"Nevada",7,3,4,4
"Nevada",8,3,5,4
"New Hampshire",1,1,1,1
"New Hampshire",2,1,2,1
"New Hampshire",3,1,3,2
"New Hampshire",4,1,3,3
"New Hampshire",5,2,4,3
"New Hampshire",6,2,4,3
"New Hampshire",7,3,4,4
"New Hampshire",8,3,5,4
"New Jersey",1,1,1,1
"New Jersey",2,1,2,1
"New Jersey",3,1,3,2
"New Jersey",4,1,3,3
"New Jersey",5,2,4,3
"New Jersey",6,2,4,3
"New Jersey",7,3,4,4
"New Jersey",8,3,5,4
"New Mexico",1,1,1,1
"New Mexico",2,1,2,1
"New Mexico",3,1,3,2
"New Mexico",4,1,3,3
"New Mexico",5,2,4,3
"New Mexico",6,2,4,3
"New Mexico",7,3,4,4
"New Mexico",8,3,5,4
"New York",1,1,1,1
"New York",2,1,2,1
"New York",3,1,3,2
"New York",4,1,3,3
"New York",5,2,4,3
"New York",6,2,4,3
"New York",7,3,4,4
"New York",8,3,5,4
"North Carolina",1,1,1,1
"North Carolina",2,1,2,1
"North Carolina",3,1,3,2
"North Carolina",4,1,3,3
"North Carolina",5,2,4,3
"North Carolina",6,2,4,3
"North Carolina",7,3,4,4
"North Carolina",8,3,5,4
"North Dakota",1,1,1,1
"North Dakota",2,1,2,1
"North Dakota",3,1,3,2
"North Dakota",4,1,3,3
"North Dakota",5,2,4,3
"North Dakota",6,2,4,3
"North Dakota",7,3,4,4
"North Dakota",8,3,5,4
"Ohio",1,1,1,1
"Ohio",2,1,2,1
"Ohio",3,1,3,2
"Ohio",4,1,3,3
"Ohio",5,2,4,3
"Ohio",6,2,4,3
"Ohio",7,3,4,4
"Ohio",8,3,5,4
"Oklahoma",1,1,1,1
"Oklahoma",2,1,2,1
"Oklahoma",3,1,3,2
"Oklahoma",4,1,3,3
"Oklahoma",5,2,4,3
"Oklahoma",6,2,4,3
"Oklahoma",7,3,4,4
"Oklahoma",8,3,5,4
"Oregon",1,1,1,1
"Oregon",2,1,2,1
"Oregon",3,1,3,2
"Oregon",4,1,3,3
"Oregon",5,2,4,3
"Oregon",6,2,4,3
"Oregon",7,3,4,4
"Oregon",8,3,5,4
"Pennsylvania",1,1,1,1
"Pennsylvania",2,1,2,1
"Pennsylvania",3,1,3,2
"Pennsylvania",4,1,3,3
"Pennsylvania",5,2,4,3
"Pennsylvania",6,2,4,3
"Pennsylvania",7,3,4,4
"Pennsylvania",8,3,5,4
"Rhode Island",1,1,1,1
"Rhode Island",2,1,2,1
"Rhode Island",3,1,3,2
"Rhode Island",4,1,3,3
"Rhode Island",5,2,4,3
"Rhode Island",6,2,4,3
"Rhode Island",7,3,4,4
"Rhode Island",8,3,5,4
"South Carolina",1,1,1,1
"South Carolina",2,1,2,1
"South Carolina",3,1,3,2
"South Carolina",4,1,3,3
"South Carolina",5,2,4,3
"South Carolina",6,2,4,3
"South Carolina",7,3,4,4
"South Carolina",8,3,5,4
"South Dakota",1,1,1,1
"South Dakota",2,1,2,1
"South Dakota",3,1,3,2
"South Dakota",4,1,3,3
"South Dakota",5,2,4,3
"South Dakota",6,2,4,3
"South Dakota",7,3,4,4
"South Dakota",8,3,5,4
"Tennessee",1,1,1,1
"Tennessee",2,1,2,1
"Tennessee",3,1,3,2
"Tennessee",4,1,3,3
"Tennessee",5,2,4,3
"Tennessee",6,2,4,3
"Tennessee",7,3,4,4
"Tennessee",8,3,5,4
"Texas",1,1,1,1
"Texas",2,1,2,1
"Texas",3,1,3,2
"Texas",4,1,3,3
"Texas",5,2,4,3
"Texas",6,2,4,3
"Texas",7,3,4,4
"Texas",8,3,5,4
"Utah",1,1,1,1
"Utah",2,1,2,1
"Utah",3,1,3,2
"Utah",4,1,3,3
"Utah",5,2,4,3
"Utah",6,2,4,3
"Utah",7,3,4,4
"Utah",8,3,5,4
"Vermont",1,1,1,1
"Vermont",2,1,2,1
"Vermont",3,1,3,2
"Vermont",4,1,3,3
"Vermont",5,2,4,3
"Vermont",6,2,4,3
"Vermont",7,3,4,4
"Vermont",8,3,5,4
"Virginia",1,1,1,1
"Virginia",2,1,2,1
"Virginia",3,1,3,2
"Virginia",4,1,3,3
"Virginia",5,2,4,3
"Virginia",6,2,4,3
"Virginia",7,3,4,4
"Virginia",8,3,5,4
"Washington",1,1,1,1
"Washington",2,1,2,1
"Washington",3,1,3,2
"Washington",4,1,3,3
"Washington",5,2,4,3
"Washington",6,2,4,3
"Washington",7,3,4,4
"Washington",8,3,5,4
"West Virginia",1,1,1,1
"West Virginia",2,1,2,1
"West Virginia",3,1,3,2
"West Virginia",4,1,3,3
"West Virginia",5,2,4,3
"West Virginia",6,2,4,3
"West Virginia",7,3,4,4
"West Virginia",8,3,5,4
"Wisconsin",1,1,1,1
"Wisconsin",2,1,2,1
"Wisconsin",3,1,3,2
"Wisconsin",4,1,3,3
"Wisconsin",5,2,4,3
"Wisconsin",6,2,4,3
"Wisconsin",7,3,4,4
"Wisconsin",8,3,5,4
"Wyoming",1,1,1,1
"Wyoming",2,1,2,1
"Wyoming",3,1,3,2
"Wyoming",4,1,3,3
"Wyoming",5,2,4,3
"Wyoming",6,2,4,3
"Wyoming",7,3,4,4
"Wyoming",8,3,5,4
"Alaska",1,1,2,1
"Alaska",3,2,3,3
"Alaska",5,3,4,4
"Alaska",7,3,5,4
"Hawaii",1,1,2,1
"Hawaii",3,1,3,3
"Hawaii",5,2,4,3
"Hawaii",7,3,5,4
"Alaska",2,1,3,2
"Alaska",4,2,4,3
"Alaska",6,3,5,4
"Alaska",8,4,5,5
"Hawaii",2,1,2,2
"Hawaii",4,2,4,3
"Hawaii",6,3,4,4
"Hawaii",8,3,5,4
